StudentID,Attentive,Interested,Alert,Excited,Enthusiastic,Inspired,Proud,Determined,Strong,Active,Distressed,Upset,Hostile,Irritable,Scared,Afraid,Ashamed,Guilty,Nervous,Jittery
4516252,3,3,2,4,3,3,2,2,2,2,4,3,1,2,3,4,2,1,1,3
4386691,2,3,1,3,4,1,2,2,1,3,2,2,1,1,2,2,1,1,3,1
4458412,4,4,3,3,2,3,3,3,2,3,1,1,1,2,1,1,3,1,4,1
3712582,3,4,2,4,4,4,4,4,2,4,2,1,1,1,1,1,2,2,4,3
4088755,4,4,4,3,3,3,3,4,4,4,3,1,1,1,1,1,1,1,2,2
3716734,4,4,3,3,3,3,2,5,3,4,2,2,1,4,2,3,1,1,1,3
4315570,4,5,5,5,4,5,5,5,5,4,1,1,1,1,1,1,1,1,2,1
4353685,4,4,4,3,3,3,2,3,2,4,2,1,2,1,3,2,2,1,4,4
4313398,5,5,4,5,5,5,5,4,2,3,3,3,1,4,2,1,3,1,2,4
4357708,4,4,4,4,4,3,4,3,4,4,2,2,1,1,1,1,1,1,2,1
4445314,4,5,4,3,4,4,2,4,3,3,4,4,1,1,1,1,4,2,4,5
4502353,3,4,3,5,3,2,4,4,2,4,3,1,2,2,2,3,2,1,4,3
4390237,2,4,4,4,4,3,3,5,3,4,1,1,1,1,2,1,2,1,2,2
3670873,3,3,2,3,3,3,3,2,3,4,2,2,1,1,1,1,1,1,2,3
4130830,3,4,3,3,3,3,4,4,3,2,3,2,3,3,3,2,4,4,1,3
3723322,4,4,3,3,4,4,4,4,4,4,1,1,1,1,1,2,2,2,2,2
4250326,3,4,3,4,4,2,3,4,3,3,2,2,1,2,4,3,2,1,4,3
3042859,4,1,4,2,1,1,2,3,3,2,4,3,1,2,3,3,3,1,2,4
4359280,4,4,4,3,3,3,2,4,3,4,2,3,1,1,3,3,4,1,5,5
4494115,3,3,4,4,5,4,4,3,5,3,1,1,1,1,1,1,1,1,1,1
4329676,4,3,2,2,2,2,4,3,3,2,2,1,1,2,1,1,1,1,1,1
2994037,5,3,5,4,4,3,3,1,4,3,2,3,3,3,1,3,1,1,3,3
4250350,3,4,4,4,4,4,4,4,3,5,3,1,1,2,1,2,1,1,2,3
2964868,4,4,5,4,3,4,4,5,4,4,1,1,1,1,1,1,1,1,2,2
4491313,3,5,4,4,4,4,3,4,4,3,4,3,1,1,1,1,1,4,1,2
3028759,3,4,3,2,1,4,2,4,2,3,3,1,1,1,3,4,2,4,4,2
4310419,4,4,5,4,4,4,3,4,4,4,1,1,1,1,1,2,1,1,2,2
4302994,3,4,3,2,2,3,3,4,3,1,1,1,1,2,1,1,1,2,2,3
4017751,4,3,4,3,3,3,2,3,3,3,5,3,1,3,4,1,1,1,5,3
4386448,4,4,2,4,3,3,4,5,4,5,1,1,2,4,4,2,2,2,4,2
