"ï..StartDate";"EndDate";"RecordedDate";"PA_Attentive";"PA_Interested";"PA_Alert";"PA_Excited";"PA_Enthusiastic";"PA_Inspired";"PA_Proud";"PA_Determined";"PA_Strong";"PA_Active";"CompareQ";"mPA";"mPApartner";"PA_Attentive_partner";"PA_Interested_partner";"PA_Alert_partner";"PA_Excited_partner";"PA_Enthusiastic_partner";"PA_Inspired_partner";"PA_Proud_partner";"PA_Determined_partner";"PA_Strong_partner";"PA_Active_partner";"StudentID"
"10/16/2018 22:27:44";"10/16/2018 22:31:37";"10/16/2018 22:31:38";4;4;3;3;4;4;3;3;3;3;3;3,4;2,8;3;4;2;3;3;3;2;3;3;2;32
"10/16/2018 22:25:50";"10/16/2018 22:31:37";"10/16/2018 22:31:38";3;4;5;2;3;4;3;4;4;5;3;3,7;2,7;3;3;1;1;4;4;1;3;3;4;33
"10/16/2018 22:27:11";"10/16/2018 22:31:40";"10/16/2018 22:31:41";4;4;3;3;4;2;3;3;3;3;3;3,2;3,1;4;4;3;3;2;3;2;3;3;4;34
"10/16/2018 22:25:50";"10/16/2018 22:31:41";"10/16/2018 22:31:41";4;4;3;3;2;3;2;3;3;4;3;3,1;3,2;4;4;3;3;4;2;3;3;3;3;35
"10/16/2018 22:25:50";"10/16/2018 22:31:41";"10/16/2018 22:31:41";4;4;2;2;2;4;2;4;3;1;2;2,8;3,1;4;3;3;4;3;2;3;3;3;3;36
"10/16/2018 22:25:26";"10/16/2018 22:31:41";"10/16/2018 22:31:43";4;4;3;4;4;4;4;3;4;4;4;3,8;3,7;3;4;3;5;5;3;3;3;4;4;37
"10/16/2018 22:25:21";"10/16/2018 22:31:42";"10/16/2018 22:31:43";3;4;3;5;5;3;3;3;4;4;4;3,7;3,8;4;4;3;4;4;4;4;3;4;4;38
"10/16/2018 22:25:51";"10/16/2018 22:31:45";"10/16/2018 22:31:45";4;3;3;4;3;2;3;3;3;3;2;3,1;2,8;4;4;2;2;2;4;2;4;3;1;39
"10/16/2018 22:26:28";"10/16/2018 22:31:57";"10/16/2018 22:31:57";4;4;4;3;4;3;4;2;4;5;2;3,7;3,4;4;4;4;4;4;4;3;3;2;2;40
"10/16/2018 22:25:35";"10/16/2018 22:32:05";"10/16/2018 22:32:05";3;4;2;3;3;3;2;3;3;2;4;2,8;3,4;4;4;3;3;4;4;3;3;3;3;41
"10/16/2018 22:25:30";"10/16/2018 22:32:10";"10/16/2018 22:32:10";3;3;3;2;3;3;4;4;4;3;4;3,2;3,1;3;4;3;3;4;3;2;3;3;3;42
"10/16/2018 22:26:35";"10/16/2018 22:32:10";"10/16/2018 22:32:11";4;4;4;4;4;4;3;3;2;2;4;3,4;3,2;4;4;4;3;3;3;2;3;2;4;43
"10/16/2018 22:26:31";"10/16/2018 22:32:19";"10/16/2018 22:32:20";4;4;4;3;4;3;4;3;4;4;2;3,7;3,9;4;4;4;4;4;4;4;3;4;4;44
"10/16/2018 22:26:40";"10/16/2018 22:32:25";"10/16/2018 22:32:26";4;4;3;3;3;2;2;3;2;2;3;2,8;3,4;4;4;3;3;4;3;3;4;3;3;45
"10/16/2018 22:25:30";"10/16/2018 22:32:27";"10/16/2018 22:32:28";2;4;4;4;4;2;3;2;2;2;3;2,9;3,3;5;4;5;4;3;3;1;2;2;4;46
"10/16/2018 22:26:09";"10/16/2018 22:32:28";"10/16/2018 22:32:29";5;4;5;4;3;3;1;2;2;4;4;3,3;2,9;2;4;4;4;4;2;3;2;2;2;47
"10/16/2018 22:25:44";"10/16/2018 22:32:32";"10/16/2018 22:32:33";4;4;4;4;4;4;4;3;4;4;4;3,9;3,7;4;4;4;3;4;3;4;3;4;4;48
"10/16/2018 22:25:47";"10/16/2018 22:32:38";"10/16/2018 22:32:39";4;4;2;3;4;4;3;4;3;3;3;3,4;3,2;4;4;4;3;2;2;3;3;3;4;49
"10/16/2018 22:26:20";"10/16/2018 22:32:41";"10/16/2018 22:32:42";4;4;4;3;2;2;3;3;3;4;3;3,2;3,2;4;4;3;2;2;4;3;4;3;3;50
"10/16/2018 22:26:01";"10/16/2018 22:32:48";"10/16/2018 22:32:49";4;2;5;4;5;2;2;5;5;5;4;3,9;3,3;4;4;4;3;2;3;4;3;3;3;51
"10/16/2018 22:26:00";"10/16/2018 22:32:49";"10/16/2018 22:32:50";3;4;3;3;3;4;4;5;4;4;1;3,7;3,2;3;4;2;3;3;3;4;4;4;2;52
"10/16/2018 22:26:50";"10/16/2018 22:32:55";"10/16/2018 22:32:55";4;4;4;3;2;3;4;3;3;3;4;3,3;3,9;4;2;5;4;5;2;2;5;5;5;53
"10/16/2018 22:25:54";"10/16/2018 22:32:55";"10/16/2018 22:32:56";4;4;3;2;2;4;3;4;3;3;3;3,2;3,4;4;4;2;3;4;4;3;4;3;3;54
"10/16/2018 22:26:11";"10/16/2018 22:33:07";"10/16/2018 22:33:07";3;4;2;3;3;3;4;4;4;2;4;3,2;3,7;3;4;3;3;3;4;4;5;4;4;55
"10/16/2018 22:25:36";"10/16/2018 22:33:09";"10/16/2018 22:33:10";4;4;3;5;5;4;2;3;2;4;4;3,6;4;4;4;4;4;4;4;4;4;4;4;56
"10/16/2018 22:25:57";"10/16/2018 22:33:20";"10/16/2018 22:33:21";4;4;4;4;4;4;4;4;4;4;4;4;3,6;4;4;3;5;5;4;2;3;2;4;57
"10/16/2018 22:25:24";"10/16/2018 22:33:47";"10/16/2018 22:33:48";3;4;4;4;4;3;4;3;3;3;3;3,5;3,5;3;4;4;4;4;3;4;3;3;3;58
"10/16/2018 22:25:26";"10/16/2018 22:34:00";"10/16/2018 22:34:01";2;3;2;3;2;3;3;4;3;2;3;2,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59
