StudentID,Attentive,Interested,Alert,Excited,Enthusiastic,Inspired,Proud,Determined,Strong,Active,Distressed,Upset,Hostile,Irritable,Scared,Afraid,Ashamed,Guilty,Nervous,Jittery,globalPA,globalNA
4518019,2,3,3,1,1,1,1,2,2,1,2,4,1,2,1,2,4,1,2,1,2,4
4534324,4,4,2,3,1,2,2,3,2,2,1,2,1,2,3,3,1,2,3,3,3,3
4249444,4,3,1,1,2,2,3,4,1,3,1,1,1,1,1,1,1,1,2,4,4,2
4501003,2,1,2,1,1,1,1,1,2,1,2,2,2,4,2,2,1,1,1,1,2,4
3959098,2,2,4,3,4,2,3,3,2,2,3,2,1,1,1,1,1,2,3,4,2,4
2997697,2,2,2,2,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,4,2
4439041,4,3,4,3,3,4,3,3,3,3,4,2,1,2,3,3,1,1,4,2,2,4
4494940,4,3,2,3,3,4,4,3,3,2,2,2,2,2,1,1,1,1,2,2,2,3
4329676,3,4,2,2,3,2,4,2,2,2,1,1,1,2,1,1,1,1,1,1,3,3
3061006,4,4,3,3,4,4,3,5,4,4,3,2,1,3,2,2,2,1,3,1,4,2
3697519,5,1,5,1,4,1,1,3,2,2,4,2,1,2,3,1,2,4,3,4,4,3
2582032,3,4,2,3,4,4,2,4,3,3,2,1,3,4,1,2,1,2,2,4,3,3
4250545,2,4,4,3,3,4,4,4,4,4,3,1,1,3,1,1,3,1,2,2,4,3
3720583,4,3,1,2,3,2,3,3,2,2,1,2,1,2,1,1,1,1,2,4,2,3
4008406,3,3,3,4,3,4,3,4,3,3,3,3,1,2,3,1,1,4,1,2,2,4
4017751,4,4,3,3,4,2,1,4,4,4,4,2,1,2,4,3,3,3,4,3,4,2
4532485,4,5,4,4,5,5,3,5,4,3,1,2,1,1,2,2,3,1,2,3,4,2
4250350,4,4,3,4,5,3,3,4,2,1,2,1,1,4,2,1,2,1,4,4,3,4
2724754,3,3,2,2,2,2,2,5,3,3,3,1,1,4,1,1,1,1,4,4,2,4
3028759,4,4,3,4,3,2,2,4,3,4,2,1,1,1,2,1,1,3,2,2,4,2
4504120,4,4,3,4,4,3,3,3,3,4,2,1,3,2,1,1,1,2,2,2,4,2
4537174,3,3,2,3,3,2,3,2,3,3,1,1,1,2,1,1,1,1,1,1,2,3
4313398,4,5,2,4,5,4,4,3,2,2,4,3,1,4,4,4,2,1,4,4,2,4
4522357,2,4,4,5,4,4,4,4,3,5,2,1,3,3,1,3,1,1,3,2,2,1
4499335,3,3,3,4,4,4,2,3,1,3,2,3,1,1,1,1,1,1,1,1,2,3
4550722,3,4,3,4,4,3,3,3,4,3,1,4,1,3,1,1,1,3,1,1,2,4
4532662,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
4098322,3,4,3,4,3,1,1,3,1,4,1,1,1,2,2,1,1,1,2,1,3,4
2990992,2,3,2,2,2,2,2,2,3,2,1,2,1,2,1,2,1,1,1,1,2,3
4256821,2,2,4,1,3,1,1,3,2,4,5,5,1,5,5,5,1,1,5,5,1,5
3005812,2,2,2,3,2,1,2,3,2,2,3,2,1,2,1,1,3,1,1,2,2,4
4064017,3,2,2,3,3,3,4,3,3,4,3,1,1,2,1,1,1,2,1,4,4,3
4444021,4,5,3,3,4,3,1,3,1,3,4,3,1,2,4,4,4,2,5,4,4,2
4525402,2,3,2,3,2,1,1,2,2,2,2,1,1,1,1,1,2,3,3,1,3,2
4407406,5,5,4,4,5,4,5,5,4,4,3,2,1,2,2,2,1,1,3,3,4,2
4386253,4,4,5,4,3,4,3,4,4,3,1,1,1,1,1,2,1,1,1,2,4,1
4130830,4,4,4,3,4,4,4,4,3,4,1,2,1,2,1,1,1,1,1,1,4,2
4468582,3,3,3,2,2,3,1,4,3,2,1,3,1,1,1,2,4,1,3,2,3,2
